run,approved_rate,approved_share_DOWN,approved_share_NEUTRAL,approved_share_UP,approved_nonzero_pnl,effective_trades,m1_directional_preds,m1_sign_accuracy,m1_exact_class_accuracy,mean_conf_neutral,mean_conf_directional,cf_trades,cf_mean_bps,cf_t_stat,cf_sharpe_gross,cf_sharpe_net_1bp,cf_sharpe_net_2bp,cf_sharpe_net_5bp,cf_breakeven_cost_bps
ga_full_v2_multi_15min_all_stocks_20260620_141559,0.09315808644973288,0.0,1.0,0.0,0.0,0.0,19648.0,0.49287459283387625,0.3350977198697068,0.5519785419241728,0.3362823731607427,19648.0,0.24739081384815242,1.209630996140117,0.6985229452698002,-2.1250376162737297,-4.94859817781726,-13.41927986244785,0.24739081384815242
ga_full_v2_multi_30min_all_stocks_20260621_125311,0.12023372086018914,0.0,1.0,0.0,0.0,0.0,10530.0,0.4985754985754986,0.3271604938271605,0.5543978179506465,0.32976286063861143,10530.0,0.5229072226191264,1.4553373199913333,0.8117483738399862,-0.7406271503956869,-2.29300267463136,-6.9501292473383804,0.5229072226191264
ga_full_v2_multi_30min_all_stocks_20260621_215451,0.12606119831429793,0.0,1.0,0.0,0.0,0.0,10656.0,0.4918355855855856,0.32310435435435436,0.5712920301923538,0.33769561738007964,10656.0,0.17493998078826947,0.49300553168815764,0.27335475501870915,-1.2892083239698007,-2.8517714029583114,-7.539460639923843,0.17493998078826947
ga_full_v2_multi_30min_all_stocks_20260622_124903,0.09796616380626641,0.0012468827930174563,0.9987531172069826,0.0,2.0,2.0,10504.0,0.49714394516374716,0.33054074638233055,0.5848237200687634,0.341579871727744,10504.0,0.4993301006793032,1.3121415096481261,0.7327827960999248,-0.7347489931974273,-2.202280782494779,-6.604876150386836,0.4993301006793032
ga_full_v2_multi_30min_all_stocks_20260622_233819,0.16414673814830433,0.0,0.9992660550458715,0.0007339449541284404,2.0,2.0,9888.0,0.49302184466019416,0.33100728155339804,0.5746874902885033,0.3397817374906231,9888.0,-0.32051807497833745,-0.8431427407139732,-0.48530953361073303,-1.9994504557522788,-3.513591377893825,-8.056014144318462,-0.32051807497833745
ga_full_v2_multi_30min_all_stocks_20260623_111437,0.2017342830597708,0.0,0.9975437519189438,0.002456248081056187,8.0,8.0,10218.0,0.49686827167743197,0.33607359561558037,0.6086293394131,0.34395663484882194,10218.0,0.7409114792011551,1.9618895616703758,1.1108708068706628,-0.38845919145571645,-1.8877891897820949,-6.3857791847612315,0.7409114792011551
ga_full_v2_multi_30min_all_stocks_20260623_210817,0.14652171257558175,0.0,1.0,0.0,0.0,0.0,10498.0,0.4936178319679939,0.3265383882644313,0.5816951469496078,0.3395518665566467,10498.0,0.27574642342471717,0.781932851350351,0.43680552388184996,-1.1472785721394512,-2.7313626681607523,-7.483614956224656,0.27574642342471717
ga_full_v2_multi_all_stocks_20260618_095350,0.122040840913198,0.0,1.0,0.0,0.0,0.0,10176.0,0.4942020440251572,0.32999213836477986,0.5581148918159735,0.3363919846949298,10176.0,0.2597302980523978,0.7298057210556708,0.41408610814159824,-1.180206553310093,-2.7744992147617844,-7.557377199116858,0.2597302980523978
