Datetime,Open,High,Low,Close,Volume
2025-07-02 23:10:00,132.47,132.5,132.45,132.4899,5283
2025-07-02 23:15:00,132.48,132.49,132.45,132.47,5568
2025-07-02 23:20:00,132.48,132.49,132.45,132.4899,3442
2025-07-02 23:25:00,132.48,132.55,132.4528,132.549,11813
2025-07-02 23:30:00,132.55,132.6,132.52,132.565,6220
2025-07-02 23:35:00,132.58,132.6,132.565,132.5991,3142
2025-07-02 23:40:00,132.585,132.6,132.55,132.57,4246
2025-07-02 23:45:00,132.58,132.6,132.55,132.575,8481
2025-07-02 23:50:00,132.59,132.6,132.55,132.5998,6200
2025-07-02 23:55:00,132.5998,132.61,132.55,132.6,5922
2025-07-03 00:00:00,132.6097,132.63,132.55,132.63,18163
2025-07-03 08:05:00,133.03,133.29,132.99,133.26,18641
2025-07-03 08:10:00,133.26,133.49,133.25,133.46,12214
2025-07-03 08:15:00,133.45,133.45,133.34,133.38,8189
2025-07-03 08:20:00,133.4,133.4,133.12,133.2,16563
2025-07-03 08:25:00,133.21,133.31,133.15,133.23,14290
2025-07-03 08:30:00,133.23,133.28,133.15,133.18,7894
2025-07-03 08:35:00,133.18,133.24,133.16,133.22,5374
2025-07-03 08:40:00,133.22,133.28,133.18,133.2,3703
2025-07-03 08:45:00,133.2,133.22,133.14,133.15,4348
2025-07-03 08:50:00,133.15,133.17,133.06,133.1,7609
2025-07-03 08:55:00,133.1,133.17,133.05,133.1,5396
2025-07-03 09:00:00,133.07,133.12,132.92,132.92,14887
2025-07-03 09:05:00,132.97,133.1,132.82,133.01,13550
2025-07-03 09:10:00,133.03,133.04,132.95,132.96,2412
2025-07-03 09:15:00,133.0,133.01,132.9,132.99,3060
2025-07-03 09:20:00,133.0,133.15,132.99,133.13,6621
2025-07-03 09:25:00,133.12,133.15,133.04,133.13,3971
2025-07-03 09:30:00,133.13,133.18,133.1,133.18,2165
2025-07-03 09:35:00,133.15,133.16,133.06,133.09,4620
2025-07-03 09:40:00,133.06,133.16,133.02,133.1,5456
2025-07-03 09:45:00,133.12,133.15,133.08,133.08,3788
2025-07-03 09:50:00,133.08,133.17,133.08,133.16,648
2025-07-03 09:55:00,133.14,133.18,133.1,133.1,2960
2025-07-03 10:00:00,133.11,133.11,132.94,132.95,4963
2025-07-03 10:05:00,132.97,133.02,132.93,132.95,3103
2025-07-03 10:10:00,132.97,132.97,132.8,132.81,5983
2025-07-03 10:15:00,132.8,132.94,132.79,132.91,6200
2025-07-03 10:20:00,132.92,133.01,132.88,132.94,6319
2025-07-03 10:25:00,132.94,132.94,132.84,132.88,2566
2025-07-03 10:30:00,132.86,132.97,132.86,132.9,2774
2025-07-03 10:35:00,132.86,132.93,132.86,132.91,2317
2025-07-03 10:40:00,132.91,132.99,132.91,132.93,3407
2025-07-03 10:45:00,132.93,132.99,132.93,132.96,453
2025-07-03 10:50:00,132.97,132.99,132.93,132.93,1079
2025-07-03 10:55:00,132.93,132.98,132.91,132.96,2158
2025-07-03 11:00:00,132.96,132.98,132.94,132.97,1094
2025-07-03 11:05:00,132.92,133.05,132.84,133.02,19445
2025-07-03 11:10:00,132.98,133.01,132.88,132.97,6794
2025-07-03 11:15:00,132.93,133.01,132.92,132.99,5765
2025-07-03 11:20:00,132.98,133.05,132.88,133.05,8973
2025-07-03 11:25:00,133.05,133.11,132.97,133.01,10227
2025-07-03 11:30:00,133.02,133.1,132.98,133.05,3283
2025-07-03 11:35:00,133.04,133.07,132.92,132.94,5284
2025-07-03 11:40:00,132.95,133.05,132.93,133.03,6255
2025-07-03 11:45:00,133.03,133.18,132.98,133.15,6753
2025-07-03 11:50:00,133.11,133.15,133.07,133.11,8900
2025-07-03 11:55:00,133.1,133.2,133.06,133.2,17994
2025-07-03 12:00:00,133.17,133.2,133.08,133.15,7652
2025-07-03 12:05:00,133.2388,133.4843,132.8,133.08,137302
2025-07-03 12:10:00,133.08,133.35,132.12,133.34,38905
2025-07-03 12:15:00,133.3,133.34,133.1,133.2,31269
2025-07-03 12:20:00,133.18,133.23,133.1,133.17,16491
2025-07-03 12:25:00,133.194,133.25,133.1,133.25,20358
2025-07-03 12:30:00,133.21,133.35,133.17,133.35,19352
2025-07-03 12:35:00,133.3,133.89,133.28,133.8876,139731
2025-07-03 12:40:00,133.89,133.99,132.9,133.8,124634
2025-07-03 12:45:00,133.711,133.83,133.5,133.6845,48159
2025-07-03 12:50:00,133.63,133.7,133.3303,133.5,46457
2025-07-03 12:55:00,133.47,133.83,133.47,133.83,43968
2025-07-03 13:00:00,133.85,134.28,131.24,134.13,140829
2025-07-03 13:05:00,134.13,134.48,134.08,134.4,114732
2025-07-03 13:10:00,134.4,134.52,134.25,134.52,193794
2025-07-03 13:15:00,134.51,134.52,134.11,134.2793,86816
2025-07-03 13:20:00,134.27,134.39,134.2,134.382,45344
2025-07-03 13:25:00,134.37,134.4,134.3,134.32,51816
2025-07-03 13:30:00,134.32,134.87,134.32,134.33,111774
2025-07-03 13:35:00,134.33,135.07,133.14,133.64,2624337
2025-07-03 13:40:00,133.64,134.18,132.96,133.2376,1474881
2025-07-03 13:45:00,133.2499,133.45,132.51,133.44,1429120
2025-07-03 13:50:00,133.42,134.25,133.2351,134.017,1242958
2025-07-03 13:55:00,134.03,134.775,133.98,134.675,1497369
2025-07-03 14:00:00,134.69,135.55,134.3603,135.43,2137318
2025-07-03 14:05:00,135.4172,135.62,134.22,134.52,1928206
2025-07-03 14:10:00,134.52,135.0103,134.13,134.62,1160033
2025-07-03 14:15:00,134.8286,135.35,134.6112,134.9076,1083573
2025-07-03 14:20:00,134.91,135.19,134.57,134.91,935239
2025-07-03 14:25:00,134.8812,135.05,134.53,135.0122,711836
2025-07-03 14:30:00,135.017,135.03,134.51,134.7565,1246743
2025-07-03 14:35:00,134.7506,134.79,134.21,134.2696,764109
2025-07-03 14:40:00,134.2304,134.5825,133.9,134.16,1003559
2025-07-03 14:45:00,134.13,134.36,133.63,133.82,892962
2025-07-03 14:50:00,133.8164,134.4,133.8,134.1699,777657
2025-07-03 14:55:00,134.15,134.39,134.0715,134.2084,534880
2025-07-03 15:00:00,134.2028,134.2596,133.75,133.925,525097
2025-07-03 15:05:00,133.93,134.29,133.69,133.84,648680
2025-07-03 15:10:00,133.83,134.28,133.51,134.24,749491
2025-07-03 15:15:00,134.25,134.6999,133.9454,134.635,868085
2025-07-03 15:20:00,134.635,134.82,134.2094,134.55,583093
