epoch,train_loss,val_loss
1,0.00015412,0.00000192
2,0.00002667,0.00000563
3,0.00001817,0.00000388
4,0.00001389,0.00000182
5,0.00001165,0.00000139
6,0.00001032,0.00000144
7,0.00001109,0.00000894
8,0.00000918,0.00000203
9,0.00000816,0.00000145
10,0.00000804,0.00000151
11,0.00000779,0.00000135
